step,INFO-RACE-012-010-disinformed_num,INFO-RACE-012-010-disinformed_coverage,INFO-RACE-012-010-uninformed_num,INFO-RACE-012-010-uninformed_coverage,INFO-RACE-012-010-informed_num,INFO-RACE-012-010-informed_coverage
30,3664.05,0.3661633836616338,733.45,0.0695930406959304,5603.5,0.5642435756424358
31,3695.95,0.3701629837016298,659.16,0.061193880611938804,5645.89,0.5686431356864313
32,3724.94,0.37306269373062695,592.78,0.054894510548945105,5683.28,0.5720427957204279
33,3751.17,0.37596240375962403,533.1,0.0491950804919508,5716.73,0.5748425157484252
34,3774.87,0.3782621737826217,478.18,0.0435956404359564,5747.95,0.5781421857814218
35,3796.85,0.37996200379962003,429.31,0.0385961403859614,5774.84,0.5814418558144185
36,3816.18,0.38236176382361764,386.39,0.03469653034696531,5798.43,0.5829417058294171
37,3834.17,0.3835616438356164,347.78,0.031096890310968902,5819.05,0.5853414658534146
38,3850.72,0.3842615738426157,312.58,0.028697130286971302,5837.7,0.587041295870413
39,3865.98,0.3855614438556144,280.58,0.026197380261973803,5854.44,0.5882411758824118
40,3879.14,0.38736126387361264,253.04,0.023397660233976603,5868.82,0.5892410758924107
41,3891.11,0.38866113388661133,227.63,0.0207979202079792,5882.26,0.5905409459054095
42,3902.12,0.3895610438956104,205.24,0.018598140185981403,5893.64,0.5918408159184082
43,3911.77,0.38986101389861016,184.89,0.0170982901709829,5904.34,0.593040695930407
44,3921.34,0.39066093390660933,165.63,0.015798420157984203,5914.03,0.5935406459354065
45,3929.93,0.3912608739126087,148.71,0.014198580141985802,5922.36,0.5945405459454055
46,3937.67,0.3922607739226077,133.42,0.012798720127987202,5929.91,0.5949405059494051
47,3944.77,0.39306069393060694,119.46,0.0112988701129887,5936.77,0.5956404359564044
48,3950.71,0.39376062393760625,107.88,0.009999000099990002,5942.41,0.5962403759624038
49,3956.06,0.39446055394460555,97.98,0.008999100089991,5946.96,0.5965403459654035
50,3961.07,0.39476052394760525,88.4,0.008399160083991601,5951.53,0.5968403159684031
51,3965.46,0.39506049395060494,80.04,0.007699230076992301,5955.5,0.5972402759724028
52,3969.56,0.39576042395760425,71.79,0.0066993300669933005,5959.65,0.5975402459754025
53,3973.57,0.39606039396060394,64.26,0.006299370062993701,5963.17,0.5976402359764024
54,3977.16,0.39636036396360363,57.73,0.005699430056994301,5966.11,0.597940205979402
55,3980.36,0.39676032396760325,52.03,0.005099490050994901,5968.61,0.5981401859814018
56,3982.87,0.39706029397060294,47.01,0.0046995300469953,5971.12,0.5982401759824018
57,3985.41,0.3972602739726027,42.33,0.004399560043995601,5973.26,0.5983401659834017
58,3987.96,0.39736026397360263,37.91,0.004199580041995801,5975.13,0.5984401559844016
59,3990.24,0.39746025397460255,33.83,0.0038996100389961006,5976.93,0.5986401359864013
60,3992.03,0.39776022397760225,30.44,0.0033996600339966003,5978.53,0.5988401159884011
61,3993.88,0.39806019398060194,27.53,0.0030996900309969004,5979.59,0.5988401159884011
62,3995.47,0.39856014398560147,24.78,0.0025997400259974,5980.75,0.5988401159884011
63,3996.74,0.39866013398660133,22.51,0.0024997500249975004,5981.75,0.5988401159884011
64,3997.98,0.39866013398660133,20.36,0.0024997500249975004,5982.66,0.5988401159884011
65,3999.24,0.39886011398860116,18.18,0.0020997900209979003,5983.58,0.599040095990401
66,4000.19,0.39906009399060094,16.4,0.0018998100189981002,5984.41,0.599040095990401
67,4001.18,0.39916008399160086,14.92,0.0015998400159984002,5984.9,0.5992400759924008
68,4001.99,0.3992600739926007,13.5,0.0012998700129987,5985.51,0.5994400559944005
69,4002.8,0.39946005399460055,12.14,0.0010998900109989002,5986.06,0.5994400559944005
70,4003.51,0.39946005399460055,10.94,0.0010998900109989002,5986.55,0.5994400559944005
71,4004.23,0.39946005399460055,9.79,0.0010998900109989002,5986.98,0.5994400559944005
