step,INFO-RACE-011-010-uninformed_num,INFO-RACE-011-010-uninformed_coverage,INFO-RACE-011-010-disinformed_num,INFO-RACE-011-010-disinformed_coverage,INFO-RACE-011-010-informed_num,INFO-RACE-011-010-informed_coverage
35,525.27,0.048295170482951705,4338.88,0.43585641435856415,5136.85,0.5158484151584841
36,475.59,0.0448955104489551,4362.3,0.4373562643735626,5163.11,0.5177482251774822
37,430.55,0.039896010398960104,4385.05,0.44055594440555945,5185.4,0.5195480451954805
38,388.36,0.035896410358964105,4405.47,0.44195580441955806,5207.17,0.5221477852214779
39,349.46,0.032596740325967405,4424.73,0.44365563443655637,5226.81,0.5237476252374762
40,315.89,0.028597140285971403,4441.29,0.44555544445555445,5243.82,0.5258474152584741
41,285.44,0.025697430256974303,4456.29,0.4467553244675532,5259.27,0.5275472452754725
42,257.34,0.0240975902409759,4470.22,0.44725527447255276,5273.44,0.5286471352864713
43,232.88,0.022297770222977704,4482.44,0.44785521447855214,5285.68,0.5298470152984701
44,210.76,0.0201979802019798,4493.69,0.44865513448655137,5296.55,0.5311468853114688
45,190.26,0.0183981601839816,4504.03,0.44935506449355067,5306.71,0.5322467753224678
46,173.19,0.016998300169983,4513.03,0.4500549945005499,5314.78,0.5329467053294671
47,156.41,0.015398460153984602,4521.5,0.4507549245075492,5323.09,0.5338466153384661
48,141.1,0.013598640135986401,4529.15,0.45195480451954806,5330.75,0.5344465553444655
49,127.96,0.0124987501249875,4536.24,0.45235476452354767,5336.8,0.5351464853514648
50,115.92,0.011498850114988501,4542.3,0.45295470452954706,5342.78,0.5355464453554645
51,105.1,0.0103989601039896,4547.76,0.45335466453354667,5348.14,0.5362463753624638
52,95.1,0.0091990800919908,4552.97,0.4537546245375462,5352.93,0.537046295370463
53,86.5,0.007999200079992,4557.43,0.45445455454454553,5357.07,0.5375462453754625
54,78.0,0.0071992800719928,4561.96,0.45495450454954506,5361.04,0.5378462153784621
55,70.59,0.006399360063993601,4565.82,0.45545445455454453,5364.59,0.5381461853814619
56,64.0,0.0059994000599940004,4569.56,0.45585441455854414,5367.44,0.5381461853814619
57,57.86,0.0051994800519948,4572.78,0.45625437456254375,5370.36,0.5385461453854614
58,52.39,0.0047995200479952005,4575.51,0.45655434456554345,5373.1,0.5386461353864613
59,47.08,0.004299570042995701,4578.29,0.4567543245675432,5375.63,0.5389461053894611
60,42.49,0.003999600039996,4580.9,0.45695430456954306,5377.61,0.539046095390461
61,38.34,0.0037996200379962005,4582.99,0.4570542945705429,5379.67,0.5391460853914608
62,34.46,0.0034996500349965005,4584.99,0.45725427457254275,5381.55,0.5392460753924607
63,31.34,0.0033996600339966003,4586.72,0.45725427457254275,5382.94,0.5393460653934606
64,28.26,0.0032996700329967,4588.44,0.45735426457354267,5384.3,0.5393460653934606
65,25.79,0.0030996900309969004,4589.85,0.45755424457554245,5385.36,0.5393460653934606
66,23.36,0.0025997400259974,4591.37,0.45795420457954206,5386.27,0.5394460553944606
67,21.19,0.0025997400259974,4592.68,0.45795420457954206,5387.13,0.5394460553944606
68,18.93,0.0022997700229977,4593.99,0.45815418458154183,5388.08,0.5395460453954605
69,16.93,0.0022997700229977,4595.28,0.45815418458154183,5388.79,0.5395460453954605
70,15.15,0.0021997800219978004,4596.25,0.45815418458154183,5389.6,0.5396460353964604
71,13.74,0.001999800019998,4597.07,0.45825417458254175,5390.19,0.5397460253974603
